path,                       name
POLS0036/gerber.dta,        "Gerber, Green, and Larimer (2008)"
POLS0036/benin.csv,         Wantchekon (2003)
POLS0036/star.dta,          Krueger (1999)
POLS0036/experiment.dta,    Simulated Experimental Dataset
POLS0036/meyersson.csv,     Meyersson (2014)
POLS0036/lee.dta,           Lee (2010)
POLS0036/stokes.dta,        Stokes (2016)
POLS0036/malesky.dta,       Malesky (2014)
