"","mpid","firstname","surname","party","PublicWhip.URL"
"1",41371,"Bridget","Phillipson","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41371"
"2",41372,"Chi","Onwurah","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41372"
"3",41373,"Julie","Elliott","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41373"
"4",41374,"Nick","Brown","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41374"
"5",41375,"Justin","Tomlinson","Con","https://www.publicwhip.org.uk/mp.php?mpid=41375"
"6",41376,"Sharon","Hodgson","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41376"
"7",41377,"Catherine","McKinnell","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41377"
"8",41378,"Philip","Hollobone","Con","https://www.publicwhip.org.uk/mp.php?mpid=41378"
"9",41379,"Marcus","Jones","Con","https://www.publicwhip.org.uk/mp.php?mpid=41379"
"10",41380,"Charles","Walker","Con","https://www.publicwhip.org.uk/mp.php?mpid=41380"
"11",41381,"John","Baron","Con","https://www.publicwhip.org.uk/mp.php?mpid=41381"
"12",41382,"Sue","Hayman","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41382"
"13",41383,"Andy","McDonald","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41383"
"14",41384,"Jenny","Chapman","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41384"
"15",41385,"Emma","Lewell-Buck","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41385"
"16",41386,"Stephen","Metcalfe","Con","https://www.publicwhip.org.uk/mp.php?mpid=41386"
"17",41387,"Stephen","Hepburn","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41387"
"18",41388,"Derek","Twigg","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41388"
"19",41389,"Andrew","Jones","Con","https://www.publicwhip.org.uk/mp.php?mpid=41389"
"20",41390,"Jo","Platt","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41390"
"21",41391,"Nia","Griffith","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41391"
"22",41392,"Sylvia","Hermon","Independent","https://www.publicwhip.org.uk/mp.php?mpid=41392"
"23",41393,"Ged","Killen","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41393"
"24",41394,"Robert","Buckland","Con","https://www.publicwhip.org.uk/mp.php?mpid=41394"
"25",41395,"Alex","Cunningham","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41395"
"26",41396,"Ian","Lucas","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41396"
"27",41397,"Frank","Field","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41397"
"28",41398,"John","Stevenson","Con","https://www.publicwhip.org.uk/mp.php?mpid=41398"
"29",41399,"Yvonne","Fovargue","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41399"
"30",41400,"Rosena","Allin-Khan","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41400"
"31",41401,"Lisa","Nandy","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41401"
"32",41402,"Vicky","Ford","Con","https://www.publicwhip.org.uk/mp.php?mpid=41402"
"33",41403,"Jeffrey M.","Donaldson","DUP","https://www.publicwhip.org.uk/mp.php?mpid=41403"
"34",41404,"Jim","Shannon","DUP","https://www.publicwhip.org.uk/mp.php?mpid=41404"
"35",41405,"Alan","Brown","SNP","https://www.publicwhip.org.uk/mp.php?mpid=41405"
"36",41406,"Tom","Watson","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41406"
"37",41407,"Robert","Halfon","Con","https://www.publicwhip.org.uk/mp.php?mpid=41407"
"38",41408,"George","Howarth","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41408"
"39",41409,"Chris","Elmore","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41409"
"40",41410,"Mark","Francois","Con","https://www.publicwhip.org.uk/mp.php?mpid=41410"
"41",41411,"Julie","Cooper","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41411"
"42",41412,"Susan Elan","Jones","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41412"
"43",41413,"Charlie","Elphicke","Con","https://www.publicwhip.org.uk/mp.php?mpid=41413"
"44",41414,"Rupa","Huq","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41414"
"45",41415,"Alan","Mak","Con","https://www.publicwhip.org.uk/mp.php?mpid=41415"
"46",41416,"Oliver","Dowden","Con","https://www.publicwhip.org.uk/mp.php?mpid=41416"
"47",41417,"Craig","Tracey","Con","https://www.publicwhip.org.uk/mp.php?mpid=41417"
"48",41418,"Justine","Greening","Con","https://www.publicwhip.org.uk/mp.php?mpid=41418"
"49",41419,"Richard","Bacon","Con","https://www.publicwhip.org.uk/mp.php?mpid=41419"
"50",41420,"Nadhim","Zahawi","Con","https://www.publicwhip.org.uk/mp.php?mpid=41420"
"51",41421,"Alan","Campbell","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41421"
"52",41422,"Chris","Ruane","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41422"
"53",41423,"John","Spellar","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41423"
"54",41424,"Martin","Docherty","SNP","https://www.publicwhip.org.uk/mp.php?mpid=41424"
"55",41425,"Kirstene","Hair","Con","https://www.publicwhip.org.uk/mp.php?mpid=41425"
"56",41426,"Angela","Eagle","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41426"
"57",41427,"Stephanie","Peacock","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41427"
"58",41428,"Rebecca","Harris","Con","https://www.publicwhip.org.uk/mp.php?mpid=41428"
"59",41429,"Damian","Collins","Con","https://www.publicwhip.org.uk/mp.php?mpid=41429"
"60",41430,"Jessica","Morden","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41430"
"61",41431,"Mary","Glindon","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41431"
"62",41432,"Anneliese","Dodds","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41432"
"63",41433,"Bill","Esterson","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41433"
"64",41434,"Nick","Thomas-Symonds","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41434"
"65",41435,"Adrian","Bailey","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41435"
"66",41436,"Emma","Reynolds","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41436"
"67",41437,"Marcus","Fysh","Con","https://www.publicwhip.org.uk/mp.php?mpid=41437"
"68",41438,"Nick","Smith","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41438"
"69",41439,"Jonathan","Edwards","PC","https://www.publicwhip.org.uk/mp.php?mpid=41439"
"70",41440,"Stewart","Hosie","SNP","https://www.publicwhip.org.uk/mp.php?mpid=41440"
"71",41441,"Maggie","Throup","Con","https://www.publicwhip.org.uk/mp.php?mpid=41441"
"72",41442,"Suella","Braverman","Con","https://www.publicwhip.org.uk/mp.php?mpid=41442"
"73",41443,"Mike","Hill","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41443"
"74",41444,"Chris","Evans","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41444"
"75",41445,"Louise","Ellman","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41445"
"76",41446,"Mhairi","Black","SNP","https://www.publicwhip.org.uk/mp.php?mpid=41446"
"77",41447,"Owen","Smith","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41447"
"78",41448,"Conor","McGinn","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41448"
"79",41449,"Hywel","Williams","PC","https://www.publicwhip.org.uk/mp.php?mpid=41449"
"80",41450,"Marsha","de Cordova","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41450"
"81",41451,"Phillip","Lee","Con","https://www.publicwhip.org.uk/mp.php?mpid=41451"
"82",41452,"Amanda","Milling","Con","https://www.publicwhip.org.uk/mp.php?mpid=41452"
"83",41453,"Ian","Mearns","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41453"
"84",41454,"Paul","Flynn","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41454"
"85",41455,"Paul","Williams","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41455"
"86",41456,"Kevin","Foster","Con","https://www.publicwhip.org.uk/mp.php?mpid=41456"
"87",41457,"Andrew","Griffiths","Con","https://www.publicwhip.org.uk/mp.php?mpid=41457"
"88",41458,"James","Frith","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41458"
"89",41459,"Wayne","David","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41459"
"90",41460,"David","Hanson","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41460"
"91",41461,"Chris","Law","SNP","https://www.publicwhip.org.uk/mp.php?mpid=41461"
"92",41462,"Lisa","Cameron","SNP","https://www.publicwhip.org.uk/mp.php?mpid=41462"
"93",41463,"Gregory","Campbell","DUP","https://www.publicwhip.org.uk/mp.php?mpid=41463"
"94",41464,"John","McNally","SNP","https://www.publicwhip.org.uk/mp.php?mpid=41464"
"95",41465,"Mike","Penning","Con","https://www.publicwhip.org.uk/mp.php?mpid=41465"
"96",41466,"Nadine","Dorries","Con","https://www.publicwhip.org.uk/mp.php?mpid=41466"
"97",41467,"Gavin","Newlands","SNP","https://www.publicwhip.org.uk/mp.php?mpid=41467"
"98",41468,"Mark","Hendrick","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41468"
"99",41469,"Michael","Fallon","Con","https://www.publicwhip.org.uk/mp.php?mpid=41469"
"100",41470,"Marie","Rimmer","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41470"
"101",41471,"Alun","Cairns","Con","https://www.publicwhip.org.uk/mp.php?mpid=41471"
"102",41472,"Margaret","Greenwood","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41472"
"103",41473,"Liz","Twist","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41473"
"104",41475,"Mark","Prisk","Con","https://www.publicwhip.org.uk/mp.php?mpid=41475"
"105",41476,"Liz","McInnes","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41476"
"106",41477,"Angus","MacNeil","SNP","https://www.publicwhip.org.uk/mp.php?mpid=41477"
"107",41478,"Andrew","Bridgen","Con","https://www.publicwhip.org.uk/mp.php?mpid=41478"
"108",41479,"Mark","Pawsey","Con","https://www.publicwhip.org.uk/mp.php?mpid=41479"
"109",41481,"Madeleine","Moon","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41481"
"110",41482,"Sam","Gyimah","Con","https://www.publicwhip.org.uk/mp.php?mpid=41482"
"111",41483,"Mark","Menzies","Con","https://www.publicwhip.org.uk/mp.php?mpid=41483"
"112",41484,"Maria","Eagle","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41484"
"113",41485,"Diana R.","Johnson","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41485"
"114",41486,"Douglas","Ross","Con","https://www.publicwhip.org.uk/mp.php?mpid=41486"
"115",41487,"Anne Marie","Morris","Con","https://www.publicwhip.org.uk/mp.php?mpid=41487"
"116",41488,"Oliver","Heald","Con","https://www.publicwhip.org.uk/mp.php?mpid=41488"
"117",41489,"Luke","Graham","Con","https://www.publicwhip.org.uk/mp.php?mpid=41489"
"118",41490,"Tony","Lloyd","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41490"
"119",41491,"Kenneth","Clarke","Con","https://www.publicwhip.org.uk/mp.php?mpid=41491"
"120",41492,"Gill","Furniss","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41492"
"121",41493,"Christopher","Pincher","Con","https://www.publicwhip.org.uk/mp.php?mpid=41493"
"122",41494,"Nigel","Mills","Con","https://www.publicwhip.org.uk/mp.php?mpid=41494"
"123",41495,"Dan","Jarvis","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41495"
"124",41496,"Kate","Hollern","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41496"
"125",41497,"Peter","Dowd","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41497"
"126",41498,"Christopher","Chope","Con","https://www.publicwhip.org.uk/mp.php?mpid=41498"
"127",41499,"Peter","Grant","SNP","https://www.publicwhip.org.uk/mp.php?mpid=41499"
"128",41500,"Melanie","Onn","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41500"
"129",41501,"Jonathan","Djanogly","Con","https://www.publicwhip.org.uk/mp.php?mpid=41501"
"130",41502,"Ronnie","Cowan","SNP","https://www.publicwhip.org.uk/mp.php?mpid=41502"
"131",41503,"Nigel","Huddleston","Con","https://www.publicwhip.org.uk/mp.php?mpid=41503"
"132",41504,"Danielle","Rowley","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41504"
"133",41505,"Patricia","Gibson","SNP","https://www.publicwhip.org.uk/mp.php?mpid=41505"
"134",41506,"Andrew","Stephenson","Con","https://www.publicwhip.org.uk/mp.php?mpid=41506"
"135",41507,"Chris","Bryant","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41507"
"136",41508,"James","Duddridge","Con","https://www.publicwhip.org.uk/mp.php?mpid=41508"
"137",41509,"Peter","Bone","Con","https://www.publicwhip.org.uk/mp.php?mpid=41509"
"138",41510,"Alison","McGovern","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41510"
"139",41511,"Pat","McFadden","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41511"
"140",41512,"Steven","Baker","Con","https://www.publicwhip.org.uk/mp.php?mpid=41512"
"141",41513,"Mark","Garnier","Con","https://www.publicwhip.org.uk/mp.php?mpid=41513"
"142",41514,"Kirsty","Blackman","SNP","https://www.publicwhip.org.uk/mp.php?mpid=41514"
"143",41515,"Leo","Docherty","Con","https://www.publicwhip.org.uk/mp.php?mpid=41515"
"144",41517,"Ann","Clwyd","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41517"
"145",41519,"Luciana","Berger","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41519"
"146",41520,"Glyn","Davies","Con","https://www.publicwhip.org.uk/mp.php?mpid=41520"
"147",41521,"Paul","Girvan","DUP","https://www.publicwhip.org.uk/mp.php?mpid=41521"
"148",41522,"David","Amess","Con","https://www.publicwhip.org.uk/mp.php?mpid=41522"
"149",41523,"Damien","Moore","Con","https://www.publicwhip.org.uk/mp.php?mpid=41523"
"150",41524,"Andrew","Mitchell","Con","https://www.publicwhip.org.uk/mp.php?mpid=41524"
"151",41525,"Eleanor","Smith","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41525"
"152",41526,"Guto","Bebb","Con","https://www.publicwhip.org.uk/mp.php?mpid=41526"
"153",41527,"Paul","Maynard","Con","https://www.publicwhip.org.uk/mp.php?mpid=41527"
"154",41528,"David","Crausby","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41528"
"155",41529,"Jo","Stevens","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41529"
"156",41530,"Karl","Turner","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41530"
"157",41531,"Christina","Rees","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41531"
"158",41532,"Kevan","Jones","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41532"
"159",41533,"Louise","Haigh","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41533"
"160",41534,"Heidi","Allen","Con","https://www.publicwhip.org.uk/mp.php?mpid=41534"
"161",41535,"Geraint","Davies","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41535"
"162",41536,"Karen","Buck","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41536"
"163",41537,"Albert","Owen","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41537"
"164",41538,"Chris","Davies","Con","https://www.publicwhip.org.uk/mp.php?mpid=41538"
"165",41539,"Kerry","McCarthy","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41539"
"166",41540,"Ivan","Lewis","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41540"
"167",41541,"Will","Quince","Con","https://www.publicwhip.org.uk/mp.php?mpid=41541"
"168",41542,"Jim","Cunningham","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41542"
"169",41543,"Mims","Davies","Con","https://www.publicwhip.org.uk/mp.php?mpid=41543"
"170",41545,"Bernard","Jenkin","Con","https://www.publicwhip.org.uk/mp.php?mpid=41545"
"171",41546,"David","Davies","Con","https://www.publicwhip.org.uk/mp.php?mpid=41546"
"172",41547,"Lilian","Greenwood","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41547"
"173",41548,"Julian","Knight","Con","https://www.publicwhip.org.uk/mp.php?mpid=41548"
"174",41549,"Stella","Creasy","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41549"
"175",41550,"Stephen","Kinnock","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41550"
"176",41551,"Mark","Tami","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41551"
"177",41552,"Helen","Goodman","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41552"
"178",41553,"Karin","Smyth","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41553"
"179",41554,"Colleen","Fletcher","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41554"
"180",41555,"Jo","Swinson","LDem","https://www.publicwhip.org.uk/mp.php?mpid=41555"
"181",41556,"Clive","Efford","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41556"
"182",41557,"Ruth","George","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41557"
"183",41558,"Stephen","Twigg","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41558"
"184",41559,"Michael","Gove","Con","https://www.publicwhip.org.uk/mp.php?mpid=41559"
"185",41560,"Greg","Clark","Con","https://www.publicwhip.org.uk/mp.php?mpid=41560"
"186",41561,"Harriett","Baldwin","Con","https://www.publicwhip.org.uk/mp.php?mpid=41561"
"187",41562,"Caroline","Flint","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41562"
"188",41563,"Liz","Saville-Roberts","PC","https://www.publicwhip.org.uk/mp.php?mpid=41563"
"189",41564,"Tonia","Antoniazzi","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41564"
"190",41565,"Anne","Milton","Con","https://www.publicwhip.org.uk/mp.php?mpid=41565"
"191",41566,"Graham","Jones","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41566"
"192",41567,"Sandy","Martin","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41567"
"193",41568,"Siobhain","McDonagh","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41568"
"194",41569,"Julian","Lewis","Con","https://www.publicwhip.org.uk/mp.php?mpid=41569"
"195",41570,"Richard","Benyon","Con","https://www.publicwhip.org.uk/mp.php?mpid=41570"
"196",41571,"Ian","Paisley Jnr","DUP","https://www.publicwhip.org.uk/mp.php?mpid=41571"
"197",41572,"Andrew","Rosindell","Con","https://www.publicwhip.org.uk/mp.php?mpid=41572"
"198",41573,"Clive","Betts","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41573"
"199",41574,"Jared","O&#39;Mara","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41574"
"200",41575,"Anne","Main","Con","https://www.publicwhip.org.uk/mp.php?mpid=41575"
"201",41576,"Stephen","McPartland","Con","https://www.publicwhip.org.uk/mp.php?mpid=41576"
"202",41577,"Jackie","Doyle-Price","Con","https://www.publicwhip.org.uk/mp.php?mpid=41577"
"203",41578,"Richard","Harrington","Con","https://www.publicwhip.org.uk/mp.php?mpid=41578"
"204",41579,"Nusrat","Ghani","Con","https://www.publicwhip.org.uk/mp.php?mpid=41579"
"205",41580,"Matthew","Hancock","Con","https://www.publicwhip.org.uk/mp.php?mpid=41580"
"206",41581,"John","Redwood","Con","https://www.publicwhip.org.uk/mp.php?mpid=41581"
"207",41582,"Barbara","Keeley","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41582"
"208",41583,"Gavin","Robinson","DUP","https://www.publicwhip.org.uk/mp.php?mpid=41583"
"209",41584,"Richard","Burden","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41584"
"210",41585,"Jess","Phillips","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41585"
"211",41586,"Darren","Jones","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41586"
"212",41587,"Iain","Duncan Smith","Con","https://www.publicwhip.org.uk/mp.php?mpid=41587"
"213",41588,"Geoffrey","Robinson","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41588"
"214",41589,"Sammy","Wilson","DUP","https://www.publicwhip.org.uk/mp.php?mpid=41589"
"215",41590,"Caroline","Spelman","Con","https://www.publicwhip.org.uk/mp.php?mpid=41590"
"216",41591,"Fiona","Onasanya","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41591"
"217",41592,"John","Hayes","Con","https://www.publicwhip.org.uk/mp.php?mpid=41592"
"218",41593,"David","Drew","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41593"
"219",41594,"Boris","Johnson","Con","https://www.publicwhip.org.uk/mp.php?mpid=41594"
"220",41595,"Damian","Green","Con","https://www.publicwhip.org.uk/mp.php?mpid=41595"
"221",41596,"Jack","Dromey","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41596"
"222",41597,"Roberta","Blackman-Woods","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41597"
"223",41598,"Martin","Vickers","Con","https://www.publicwhip.org.uk/mp.php?mpid=41598"
"224",41599,"David","Jones","Con","https://www.publicwhip.org.uk/mp.php?mpid=41599"
"225",41600,"Alison","Thewliss","SNP","https://www.publicwhip.org.uk/mp.php?mpid=41600"
"226",41601,"Paul","Sweeney","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41601"
"227",41602,"Emily","Thornberry","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41602"
"228",41603,"Jeremy","Wright","Con","https://www.publicwhip.org.uk/mp.php?mpid=41603"
"229",41604,"George","Freeman","Con","https://www.publicwhip.org.uk/mp.php?mpid=41604"
"230",41605,"Laura","Pidcock","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41605"
"231",41606,"Rebecca","Long-Bailey","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41606"
"232",41607,"John","Glen","Con","https://www.publicwhip.org.uk/mp.php?mpid=41607"
"233",41608,"Mark","Pritchard","Con","https://www.publicwhip.org.uk/mp.php?mpid=41608"
"234",41609,"Vincent","Cable","LDem","https://www.publicwhip.org.uk/mp.php?mpid=41609"
"235",41610,"Oliver","Letwin","Con","https://www.publicwhip.org.uk/mp.php?mpid=41610"
"236",41611,"Yasmin","Qureshi","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41611"
"237",41612,"David","Tredinnick","Con","https://www.publicwhip.org.uk/mp.php?mpid=41612"
"238",41613,"Daniel","Zeichner","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41613"
"239",41614,"Cheryl","Gillan","Con","https://www.publicwhip.org.uk/mp.php?mpid=41614"
"240",41615,"Mark","Field","Con","https://www.publicwhip.org.uk/mp.php?mpid=41615"
"241",41616,"Trudy","Harrison","Con","https://www.publicwhip.org.uk/mp.php?mpid=41616"
"242",41617,"Douglas","Chapman","SNP","https://www.publicwhip.org.uk/mp.php?mpid=41617"
"243",41618,"Grahame","Morris","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41618"
"244",41619,"Angela","Crawley","SNP","https://www.publicwhip.org.uk/mp.php?mpid=41619"
"245",41620,"Dan","Carden","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41620"
"246",41621,"Chloe","Smith","Con","https://www.publicwhip.org.uk/mp.php?mpid=41621"
"247",41622,"Nigel","Evans","Con","https://www.publicwhip.org.uk/mp.php?mpid=41622"
"248",41623,"Carolyn","Harris","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41623"
"249",41624,"Mike","Kane","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41624"
"250",41625,"Bill","Grant","Con","https://www.publicwhip.org.uk/mp.php?mpid=41625"
"251",41626,"Dominic","Grieve","Con","https://www.publicwhip.org.uk/mp.php?mpid=41626"
"252",41627,"Giles","Watling","Con","https://www.publicwhip.org.uk/mp.php?mpid=41627"
"253",41628,"Virendra","Sharma","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41628"
"254",41629,"Vernon","Coaker","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41629"
"255",41630,"Caroline","Dinenage","Con","https://www.publicwhip.org.uk/mp.php?mpid=41630"
"256",41631,"Bob","Seely","Con","https://www.publicwhip.org.uk/mp.php?mpid=41631"
"257",41632,"Emma","Hardy","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41632"
"258",41633,"Jon","Ashworth","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41633"
"259",41634,"Gavin","Shuker","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41634"
"260",41635,"John","Whittingdale","Con","https://www.publicwhip.org.uk/mp.php?mpid=41635"
"261",41636,"Lucy","Powell","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41636"
"262",41637,"Richard","Drax","Con","https://www.publicwhip.org.uk/mp.php?mpid=41637"
"263",41638,"Geoffrey","Clifton-Brown","Con","https://www.publicwhip.org.uk/mp.php?mpid=41638"
"264",41639,"Stephen","Hammond","Con","https://www.publicwhip.org.uk/mp.php?mpid=41639"
"265",41640,"Robin","Walker","Con","https://www.publicwhip.org.uk/mp.php?mpid=41640"
"266",41641,"Neil","Gray","SNP","https://www.publicwhip.org.uk/mp.php?mpid=41641"
"267",41642,"Nigel","Dodds","DUP","https://www.publicwhip.org.uk/mp.php?mpid=41642"
"268",41643,"Shabana","Mahmood","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41643"
"269",41644,"Thangam","Debbonaire","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41644"
"270",41645,"Anna","McMorrin","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41645"
"271",41646,"Michelle","Donelan","Con","https://www.publicwhip.org.uk/mp.php?mpid=41646"
"272",41647,"Patrick","Grady","SNP","https://www.publicwhip.org.uk/mp.php?mpid=41647"
"273",41648,"Adam","Holloway","Con","https://www.publicwhip.org.uk/mp.php?mpid=41648"
"274",41649,"Matthew","Pennycook","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41649"
"275",41650,"Drew","Hendry","SNP","https://www.publicwhip.org.uk/mp.php?mpid=41650"
"276",41651,"Jeremy","Corbyn","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41651"
"277",41652,"Maria","Caulfield","Con","https://www.publicwhip.org.uk/mp.php?mpid=41652"
"278",41653,"John","Cryer","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41653"
"279",41654,"Pete","Wishart","SNP","https://www.publicwhip.org.uk/mp.php?mpid=41654"
"280",41655,"Penny","Mordaunt","Con","https://www.publicwhip.org.uk/mp.php?mpid=41655"
"281",41656,"Phil","Wilson","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41656"
"282",41657,"Karen","Bradley","Con","https://www.publicwhip.org.uk/mp.php?mpid=41657"
"283",41658,"Wendy","Morton","Con","https://www.publicwhip.org.uk/mp.php?mpid=41658"
"284",41659,"Wera","Hobhouse","LDem","https://www.publicwhip.org.uk/mp.php?mpid=41659"
"285",41660,"Mohammad","Yasin","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41660"
"286",41661,"Jon","Cruddas","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41661"
"287",41662,"Gareth","Johnson","Con","https://www.publicwhip.org.uk/mp.php?mpid=41662"
"288",41663,"Martin","Whitfield","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41663"
"289",41664,"Brandon","Lewis","Con","https://www.publicwhip.org.uk/mp.php?mpid=41664"
"290",41665,"John Martin","McDonnell","Lab","https://www.publicwhip.org.uk/mp.php?mpid=41665"
"291",41666,"Julia","Lopez","Con","https://www.publicwhip.org.uk/mp.php?mpid=41666"
