"country","countrycode","year","aid","oil","gdp.capita","institutions","polity2","population","mortality"
"Afghanistan","AFG",1996,NA,"..",NA,-2.05886922279994,-7,"17822884",105.6
"Afghanistan","AFG",1998,NA,"..",NA,-2.09382142623266,-7,"18863999",104.4
"Afghanistan","AFG",2000,NA,"..",NA,-2.13289405902227,-7,"20093756",104.2
"Afghanistan","AFG",2002,1.152363794,"0.010029386249079",NA,-1.74533585707347,NA,"21979923",103.3
"Afghanistan","AFG",2003,1.212724644,"0.0102723734983259",NA,-1.57793831825256,NA,"23064851",103.9
"Afghanistan","AFG",2004,3.276531558,"0.0117875054347387",NA,-1.49325290322304,NA,"24118979",103.6
"Afghanistan","AFG",2005,3.976666167,"0.0141612105500983",NA,-1.56758906443914,NA,"25070798",103.8
"Afghanistan","AFG",2006,3.082130355,"0.00531447974059541",NA,-1.67816565434138,NA,"25893450",103.8
"Afghanistan","AFG",2007,2.503251724,"0.00414680727066109",NA,-1.70135388771693,NA,"26616792",103.7
"Afghanistan","AFG",2008,2.5125005,"0.00529760489806905",NA,-1.77588278055191,NA,"27294031",103.3
"Afghanistan","AFG",2009,1.301563873,"0.00224129073986938",NA,-1.79386476675669,NA,"28004331",103.2
"Afghanistan","AFG",2010,0.438725894,"0.00237818897269424",NA,-1.76745124657949,NA,"28803167",103
"Albania","ALB",1996,2.99015884,"0.984573853288986",990.6532077,-0.74621956050396,0,"3168033",29.8
"Albania","ALB",1998,1.650080654,"0.136039483284248",1013.514317,-0.690750459829966,5,"3128530",27.4
"Albania","ALB",2000,3.878860857,"0.914881888309388",1200.137437,-0.675700525442759,5,"3089027",25.3
"Albania","ALB",2002,3.034135061,"0.654590548859491",1313.722725,-0.524899039417505,7,"3051010",23.2
"Albania","ALB",2003,3.149790539,"0.650580487206376",1381.040832,-0.498368055870136,7,"3039616",22.4
"Albania","ALB",2004,4.572141979,"0.488093256954193",1454.022854,-0.432389174277584,7,"3026939",21.4
"Albania","ALB",2005,3.133522618,"0.842589086244412",1525.723589,-0.508946372196078,9,"3011487",20.3
"Albania","ALB",2006,3.561523097,"1.16924390598883",1594.495067,-0.435049716072778,9,"2992547",19.6
"Albania","ALB",2007,6.18683777,"0.8840895840028",1681.61391,-0.312320861344536,9,"2970017",18.7
"Albania","ALB",2008,7.390890059,"1.06987433227152",1804.419415,-0.205898119757573,9,"2947314",17.8
"Albania","ALB",2009,7.959931756,"0.751034891000837",1857.352947,-0.151412506898244,9,"2927519",17.2
"Albania","ALB",2010,9.356869813,"1.5303675714844",1915.424459,-0.166480783373117,9,"2913021",16.4
"Argentina","ARG",1996,2.553203331,"1.24025048662972",7484.004016,0.190921352788185,7,"35419682",19.6
"Argentina","ARG",1998,2.438768046,"0.435855390195356",8205.47459,0.137408439264012,7,"36241590",18.4
