"h_j","wdi_gdpc","undp_hdi","wbgi_cce","wbgi_pse","former_col","lp_lat_abst"
-5,628.407409667969,NA,-1.54535841941833,-1.93438374996185,0,0.366666704416275
-5,4954.1982421875,0.781000018119812,-0.853811502456665,-0.602608144283295,0,0.455555588006973
-5,6349.720703125,0.703999996185303,-0.730150997638702,-1.7336243391037,1,0.311111092567444
NA,NA,NA,1.32673418521881,1.19804358482361,0,0.469999998807907
-5,2856.75170898438,0.381000012159348,-1.20657408237457,-1.41509449481964,1,0.13666670024395
NA,13981.9794921875,0.800000011920929,0.862436771392822,0.70840460062027,1,0.189222201704979
-5,2980.86157226562,0.745999991893768,-0.98524421453476,-1.12969660758972,0,0.447777807712555
-5,8584.8857421875,0.852999985218048,-0.726461052894592,-1.0361213684082,1,0.377777814865112
1,32201.22265625,0.945999979972839,1.84785163402557,1.20449244976044,0,0.300000011920929
1,32082.716796875,0.934000015258789,1.95804500579834,1.30967402458191,0,0.52444452047348
NA,NA,0.814999997615814,1.43961095809937,0.868442118167877,1,0.268333286046982
-5,24506.48828125,0.842999994754791,0.950722515583038,0.230410754680634,1,0.288888901472092
-5,947.525390625,0.50900000333786,-1.08453619480133,-0.852357923984528,1,0.26666671037674
-5,2860.0654296875,0.754000008106232,-0.697674214839935,-0.805799901485443,0,0.444444388151169
1,19188.640625,0.888000011444092,1.32673418521881,1.02578389644623,1,0.145555600523949
1,30687.7265625,0.941999971866608,1.5984058380127,1.19884765148163,0,0.561111092567444
-5,2944.53930664062,0.53600001335144,0.592829525470734,0.631192266941071,1,0.303333312273026
-5,3401.92700195312,0.680999994277954,-0.89069277048111,-0.173424854874611,1,0.188888907432556
-5,5058.244140625,0.781000018119812,-0.429049015045166,-0.654190719127655,0,0.488888889551163
1,10565.0390625,0.58899998664856,0.698843240737915,0.76541268825531,1,0.244444400072098
-5,8009.9990234375,0.774999976158142,-0.0972238183021545,-0.157483980059624,1,0.111111097037792
NA,5840.044921875,0.736999988555908,-0.213271379470825,0.316987633705139,1,0.190555602312088
NA,1886.01208496094,0.624000012874603,-1.35093426704407,-0.553583383560181,1,0.0888888984918594
-5,48585.7265625,0.866999983787537,0.330439329147339,0.999805510044098,1,0.0477778017520905
1,7164.107421875,0.796000003814697,-0.027159720659256,0.432419627904892,0,0.477777808904648
-5,NA,0.550999999046326,-1.36344981193542,-1.33469212055206,1,0.244444400072098
-5,355.014434814453,0.33899998664856,-0.980066359043121,-2.40352988243103,1,0.0366666987538338
-5,6443.08837890625,0.790000021457672,-0.909778773784637,-0.0142236854881048,0,0.588888883590698
-5,1124.02746582031,0.568000018596649,-0.975437581539154,-0.719185650348663,1,0.144444495439529
-5,1899.67248535156,0.500999987125397,-1.0954726934433,-0.732242941856384,1,0.0666666999459267
