"district","CDU","SPD","AfD","Die.Linke","Grune","FDP","unemploymentrate","migrantfraction","catholicfraction"
"Waldeck",33.6104040159843,35.0836900410984,10.9771185597065,6.11499025867831,5.73244784482146,7.0606806126367,4.55,15.9,14.8
"Kassel",26.87755645376,35.5495316697727,9.98378391461142,8.75668610983372,9.36055376721446,5.9049543771329,7.08,24.7,14.3
"Werra-Meißner – Hersfeld-Rotenburg",29.9481051917669,41.1729293514292,12.5035244271377,5.54840086262736,3.99003253903541,5.0271666653966,4.94,14,10.9
"Schwalm-Eder",30.4120541205412,37.6628368556413,12.0184781393268,5.48962875992396,5.59166387118417,6.49809907189981,4.3,14.7,11.8
"Marburg",33.3840801895182,35.7224668663342,10.2271514651376,8.1960915435344,6.39481528381484,4.29972895487561,3.43,18.9,18.3
"Lahn-Dill",38.2960870049756,29.7430888339681,11.7160407229437,4.66491415535292,5.84032043423822,6.28675193224206,5.18,22.2,14.6
"Gießen",35.0950936315898,28.1534412807486,11.5245440257319,6.30261827308503,8.29586851371273,7.70069568819523,6.25,22.2,15.9
"Fulda",45.165240215255,20.1823513528788,8,4.81497993758359,5.5691258563418,5.29660351767314,3.14,16,53.5
"Main-Kinzig – Wetterau II – Schotten",36.415627622146,28.3088722380062,14.8466826632907,5.89348014897469,5.40695705936907,6.12827722247575,4.39,22.5,27.2
"Hochtaunus",39.9136275726298,23.0148552256705,10.4499545955538,5.93099910577503,8.93115854123486,10.3653844820774,3.81,22.9,26.9
"Wetterau I",36.437799899212,29.0481372470257,10.9457278284558,4.90720926665742,8.30259784839433,8.06815609000811,4.4,19.1,22
"Rheingau-Taunus – Limburg",41.7642321026276,25.3504768352613,10.1781274439996,5.48273004237239,7.00895306353523,7.61827498861899,4.48,17.8,39.7
"Wiesbaden",34.2908294917515,28.5531008089067,10.450552317996,7.65199617291467,8.93204024238207,7.02574584674263,7.45,33.8,22.9
"Hanau",35.3296632565747,30.4295807177095,12.8041254287856,5.84284297170204,6.09878917756457,6.37366631581339,5.15,24.6,24.3
"Main-Taunus",41.9426466320982,21.7812850888813,9.66339906387596,4.97457830261282,9.12027049190669,10.8650946847836,3.6,25.7,30.6
"Frankfurt am Main I",30.5735203538832,27.0423875916905,9.01436250629935,9.69959124251078,10.9160647292682,9.2117419788342,7.12,44.2,22.9
"Frankfurt am Main II",32.3761337187146,25.9370218154743,7.64039937385309,9.10082255066924,13.4967490780749,8.1358058710067,5.9,44.2,23.5
"Groß-Gerau",35.1246016644123,32.3574589055228,11.313876980215,6.67064047013152,6.78374103028497,5.62293190276409,5.81,32.1,21.7
"Offenbach",36.379560955611,24.9133465021803,11.210912750177,7.72427416048601,8.84921670207347,7.71495658007529,6.74,36.8,25.6
"Darmstadt",30.6822369875852,29.7382248570556,9.0894731854223,8.50242715890783,14.1886128865817,6.18635947223772,5.01,26.9,20.6
