"pair","date","year","village","district","vilno","disno","treat","poverty","pop2000","lpop2000","pret","pret.1","diff","groznyy","elevation","lelev","tariq","nn","lnn","reb","garrison","vildays","deaths","deathsd","wounded","woundedd","fail","swept","prop","propd","lprop","history","historyd","lhistory","change","decrease","increase","abandon","iso"
12,"7/17/2000",2000,"Sel'mentauzen","Vedenskiy",110,15,0,3,1021,6.92853784561157,0,0,1,0,796,6.67959880828857,0,0.275599986314774,-1.28880500793457,1,0,10,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,1,0,1,0,4
13,"7/18/2000",2000,"Alkhan-Kala","Groznenskiy",6,3,0,2,7787,8.9602108001709,1,1,0,0,195,5.27299976348877,0,1.58399999141693,0.459953308105469,0,0,23,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,0,0,0,5
13,"7/18/2000",2000,"Tsotan-Yurt","Shalinskiy",134,10,1,2,9064,9.1120662689209,1,1,1,0,139,4.93447399139404,0,3.76999998092651,1.32707500457764,1,0,21,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1
14,"8/5/2000",2000,"Novye Aldy","Groznenskiy",94,3,1,2,2500,7.82404613494873,4,4,-1,0,150,5.0106348991394,0,1.56500005722046,0.447885900735855,0,0,2,1,1,2,1,1,0,3,1,1.38629400730133,0,0,0,-1,1,0,0,5
14,"8/5/2000",2000,"Zakan-Yurt","Achkhoi-Martanovskiy",143,1,0,2,5464,8.60593605041504,2,2,-2,0,284,5.64897394180298,0,3.7739999294281,1.32813501358032,0,0,90,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,-1,1,0,0,3
15,"8/6/2000",2000,"Novye Aldy","Groznenskiy",94,3,1,2,2500,7.82404613494873,4,4,-1,0,150,5.0106348991394,0,1.56500005722046,0.447885900735855,0,0,1,1,1,2,1,1,0,3,1,1.38629400730133,1,1,0.6931471824646,-1,1,0,0,5
15,"8/6/2000",2000,"Shaami-Yurt","Achkhoi-Martanovskiy",112,1,0,2,3636,8.19863986968994,0,0,0,0,203,5.3132061958313,0,4.1269998550415,1.41755104064941,0,0,90,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,3
16,"8/6/2000",2000,"Kirova","Naurskiy",68,8,0,1,2100,7.64969301223755,3,3,-3,0,161,5.08140420913696,1,3.48900008201599,1.24961495399475,0,0,90,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,-1,1,0,0,1
16,"8/6/2000",2000,"Petropavlovskaya","Groznenskiy",102,3,1,2,3257,8.08856201171875,7,7,-4,0,116,4.75359010696411,1,6.12900018692017,1.81303203105927,0,0,49,2,1,0,0,1,0,0,0,0,0,0,0,-1,1,0,0,1
17,"9/2/2000",2000,"Sharo-Argun","Vedenskiy",114,15,1,3,540,6.29156923294067,0,0,0,0,893,6.79458713531494,0,1.79999995231628,0.587786614894867,1,0,90,0,0,6,1,0,0,34,1,3.55534791946411,0,0,0,0,0,0,0,6
