"pair","date","year","village","district","vilno","disno","treat","poverty","pop2000","lpop2000","pret","pret.1","diff","groznyy","elevation","lelev","tariq","nn","lnn","reb","garrison","vildays","deaths","deathsd","wounded","woundedd","fail","swept","prop","propd","lprop","history","historyd","lhistory","change","decrease","increase","abandon","iso"
49,"5/18/2001",2001,"Shali","Shalinskiy",113,10,0,2,29011,10.275429725647,10,10,0,0,227,5.42495012283325,0,4.34999990463257,1.47017598152161,1,1,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,0,0,0,0,1
50,"5/19/2001",2001,"Roshni-chu","Urus-Martanovskiy",107,14,0,2,4435,8.39728260040283,1,1,1,0,357,5.87773609161377,0,3.77500009536743,1.32840001583099,0,0,17,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,1,0,1,0,4
50,"5/19/2001",2001,"Starye Atagi","Groznenskiy",122,3,1,2,11205,9.32411575317383,0,0,0,0,273,5.60947179794312,0,3.66899991035461,1.29991900920868,0,1,90,1,1,0,0,0,1,34,1,3.55534791946411,4,1,1.60943794250488,0,0,0,0,2
51,"5/25/2001",2001,"Michurina","Groznenskiy",85,3,1,2,419,6.03787088394165,0,0,0,0,109,4.6913480758667,0,1.24399995803833,0.21833199262619,0,0,90,4,1,0,0,0,0,50,1,3.93182611465454,5,1,1.79175901412964,0,0,0,0,4
51,"5/25/2001",2001,"Nikolaevskaya","Naurskiy",91,8,0,1,1679,7.42595386505127,0,0,0,0,58,4.06044292449951,1,2.59279990196228,0.952738285064697,0,0,90,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,1
52,"6/10/2001",2001,"Shaami-Yurt","Achkhoi-Martanovskiy",112,1,1,2,3636,8.19863986968994,0,0,0,0,203,5.3132061958313,0,4.1269998550415,1.41755104064941,0,0,90,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3
52,"6/10/2001",2001,"Tsa-Vedeno","Vedenskiy",132,15,0,3,1502,7.31455278396606,3,3,3,0,603,6.40191698074341,0,1.92499995231628,0.654925882816315,1,0,19,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,0,1,1,7
53,"6/12/2001",2001,"Alkhazurovo","Urus-Martanovskiy",8,14,0,2,5365,8.58765125274658,0,0,1,0,389,5.96357917785645,0,2.43899989128113,0.891588091850281,0,0,47,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,1,0,1,0,4
53,"6/12/2001",2001,"Starye Atagi","Groznenskiy",122,3,1,2,11205,9.32411575317383,0,0,0,0,273,5.60947179794312,0,3.66899991035461,1.29991900920868,0,1,90,1,1,0,0,0,1,34,1,3.55534791946411,5,1,1.79175901412964,0,0,0,0,2
54,"6/22/2001",2001,"Achkoi-Martan","Achkhoi-Martanovskiy",2,1,1,2,20350,9.92083644866943,3,3,-2,0,246,5.50533199310303,0,4.67000007629395,1.54115903377533,0,1,16,0,0,3,1,1,0,1,1,0.6931471824646,0,0,0,-1,1,0,0,1
54,"6/22/2001",2001,"Gudermes","Gudermesskiy",54,4,0,2,33578,10.4216299057007,13,13,-2,0,48,3.8712010383606,0,8.67399978637695,2.16033005714417,1,1,1,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,-1,1,0,0,0
55,"6/22/2001",2001,"Gekhi (Blagodatnoye)","Urus-Martanovskiy",43,14,0,2,10717,9.27958679199219,7,7,0,0,222,5.4026780128479,0,5.46600008010864,1.69854700565338,0,0,26,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,0,0,0,0,0
55,"6/22/2001",2001,"Makhkety","Vedenskiy",77,15,1,3,3495,8.15908908843994,0,0,0,0,649,6.47543287277222,0,1.67599999904633,0.516409993171692,1,0,90,3,1,5,1,0,0,0,0,0,2,1,1.09861195087433,0,0,0,0,6
56,"8/3/2001",2001,"Kurchaloi","Kurchaloevskiy",72,6,0,2,12613,9.44248294830322,2,2,3,0,202,5.30826807022095,0,3.24399995803833,1.17680704593658,1,1,26,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,0,1,0,2
56,"8/3/2001",2001,"Starye Atagi","Groznenskiy",122,3,1,2,11205,9.32411575317383,0,0,1,0,273,5.60947179794312,0,3.66899991035461,1.29991900920868,0,1,65,1,1,0,0,1,1,34,1,3.55534791946411,6,1,1.94590997695923,1,0,1,0,2
57,"10/10/2001",2001,"Duba-Yurt","Shalinskiy",30,10,1,2,955,6.86171197891235,0,0,0,0,372,5.91889381408691,0,3.01999998092651,1.10525703430176,1,0,90,0,0,4,1,0,1,7,1,2.07944202423096,0,0,0,0,0,0,0,5
57,"10/10/2001",2001,"Goryacheistochnenskaya","Groznenskiy",51,3,0,2,1002,6.90975284576416,0,0,0,0,287,5.6594820022583,0,1.79999995231628,0.587786614894867,0,1,90,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,2
58,"10/12/2001",2001,"Benoy","Vedenskiy",16,15,0,3,52,3.95124411582947,0,0,0,0,432,6.06842613220215,0,4.16699981689453,1.42719602584839,1,0,90,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,3,6
58,"10/12/2001",2001,"Isti-Su","Gudermesskiy",59,15,1,3,69,4.23410701751709,0,0,0,0,657,6.48768377304077,0,1.48160004615784,0.393122613430023,1,0,90,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
59,"10/27/2001",2001,"Goity","Urus-Martanovskiy",50,14,1,2,11492,9.34940624237061,0,0,0,0,217,5.37989711761475,0,4.65700006484985,1.53837096691132,0,0,90,2,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,1
59,"10/27/2001",2001,"Staropomyslovskiy (Groznyy)","Groznyy",121,2,0,1,20864,9.94578075408936,11,11,1,1,130,4.86753511428833,0,4.68400001525879,1.54415202140808,0,1,18,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,1,0,1,0,4
60,"11/1/2001",2001,"Khal-Keloi","Shatoiskiy",60,11,0,3,500,6.21460819244385,0,0,0,0,1026,6.93342304229736,0,1.79999995231628,0.587786614894867,0,0,90,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,5
60,"11/1/2001",2001,"Michurina","Groznenskiy",85,3,1,2,419,6.03787088394165,1,1,-1,0,109,4.6913480758667,0,1.24399995803833,0.21833199262619,0,0,90,1,1,0,0,0,0,0,0,0,2,1,1.09861195087433,-1,1,0,0,4
61,"11/3/2001",2001,"Oktya'brskoe","Vedenskiy",98,15,0,3,2724,7.90985679626465,9,9,1,0,667,6.50278997421265,0,1.48160004615784,0.393122613430023,1,0,17,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,1,0,1,0,5
61,"11/3/2001",2001,"Serzhen-Yurt","Shalinskiy",111,10,1,2,3244,8.08456230163574,3,3,-1,0,325,5.7838249206543,0,5.23600006103516,1.65555799007416,1,0,45,1,1,1,1,1,1,6,1,1.94590997695923,0,0,0,-1,1,0,0,1
62,"11/8/2001",2001,"Argun","Shalinskiy",9,10,1,1,23102,10.0476703643799,3,3,-2,0,117,4.76217412948608,0,1.69900000095367,0.53003978729248,1,1,33,15,1,42,1,1,1,3,1,1.38629400730133,2,1,1.09861195087433,-1,1,0,0,2
62,"11/8/2001",2001,"Shali","Shalinskiy",113,10,0,2,29011,10.275429725647,19,19,-4,0,227,5.42495012283325,0,4.34999990463257,1.47017598152161,1,1,6,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,-1,1,0,0,1
63,"11/14/2001",2001,"Marshen-Kali","Vedenskiy",80,15,0,3,500,6.21460819244385,0,0,0,0,1139,7.03790616989136,0,0.740800023078918,-0.300024598836899,1,0,90,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,1,7
63,"11/14/2001",2001,"Michurina","Groznenskiy",85,3,1,2,419,6.03787088394165,1,1,-1,0,109,4.6913480758667,0,1.24399995803833,0.21833199262619,0,0,90,1,1,0,0,0,0,0,0,0,3,1,1.38629400730133,-1,1,0,0,4
64,"11/26/2001",2001,"Gekhi (Blagodatnoye)","Urus-Martanovskiy",43,14,0,2,10717,9.27958679199219,5,5,0,0,222,5.4026780128479,0,5.46600008010864,1.69854700565338,0,0,13,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0
64,"11/26/2001",2001,"Michurina","Groznenskiy",85,3,1,2,419,6.03787088394165,1,1,-1,0,109,4.6913480758667,0,1.24399995803833,0.21833199262619,0,0,90,0,0,3,1,0,0,3,1,1.38629400730133,4,1,1.60943794250488,-1,1,0,0,4
65,"12/19/2001",2001,"Alkhan-Kala","Groznenskiy",6,3,1,2,7787,8.9602108001709,0,0,0,0,195,5.27299976348877,0,1.58399999141693,0.459953308105469,0,0,90,0,0,7,1,0,0,10,1,2.39789509773254,1,1,0.6931471824646,0,0,0,0,5
65,"12/19/2001",2001,"Alkhan-Yurt","Urus-Martanovskiy",7,14,0,2,8040,8.99218463897705,3,3,-1,0,165,5.10594606399536,0,2.62700009346008,0.965842485427856,0,1,41,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,-1,1,0,0,4
66,"1/23/2002",2002,"Argun","Shalinskiy",9,10,1,1,23102,10.0476703643799,3,3,-2,0,117,4.76217412948608,0,1.69900000095367,0.53003978729248,1,1,51,2,1,3,1,1,1,10,1,2.39789509773254,3,1,1.38629400730133,-1,1,0,0,2
66,"1/23/2002",2002,"Avtury","Shalinskiy",12,10,0,2,10724,9.28023910522461,3,3,-1,0,247,5.5093879699707,0,5.23600006103516,1.65555799007416,1,1,55,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,-1,1,0,0,1
67,"2/12/2002",2002,"Novogroznenskoi","Gudermesskiy",93,4,0,2,9426,9.15122699737549,0,0,1,0,56,4.02535200119019,0,1.4099999666214,0.343589693307877,1,1,33,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,0,1,0,2
67,"2/12/2002",2002,"Tsotan-Yurt","Shalinskiy",134,10,1,2,9064,9.1120662689209,3,3,3,0,139,4.93447399139404,0,3.76999998092651,1.32707500457764,1,0,19,8,1,0,0,1,1,3,1,1.38629400730133,2,1,1.09861195087433,1,0,1,0,1
68,"2/27/2002",2002,"Dai","Shatoiskiy",27,11,0,3,250,5.52146100997925,0,0,1,0,688,6.53378915786743,0,5.21299982070923,1.6511549949646,0,0,82,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,0,1,4,11
68,"2/27/2002",2002,"Vedeno","Vedenskiy",138,15,1,3,1512,7.32118797302246,0,0,0,0,702,6.55393409729004,0,1.3309999704361,0.285930514335632,1,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
69,"4/16/2002",2002,"Gargachi","Shatoiskiy",41,11,1,3,469,6.1506028175354,0,0,0,0,823,6.71295595169067,0,0.600000023841858,-0.510825574398041,0,0,90,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4,10
69,"4/16/2002",2002,"Gikalo","Groznenskiy",47,3,0,2,4017,8.29829025268555,2,2,-1,0,185,5.22035598754883,0,3.43300008773804,1.23343503475189,0,0,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,-1,1,0,0,6
70,"5/16/2002",2002,"Alkhazurovo","Urus-Martanovskiy",8,14,1,2,5365,8.58765125274658,0,0,2,0,389,5.96357917785645,0,2.43899989128113,0.891588091850281,0,0,17,0,0,2,1,1,0,5,1,1.79175901412964,0,0,0,1,0,1,0,4
70,"5/16/2002",2002,"Prigorodny","Groznenskiy",104,3,0,2,2892,7.96970415115356,0,0,0,0,187,5.23110914230347,0,0.632099986076355,-0.458707690238953,0,0,90,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,0,0,0,0,5
71,"8/8/2002",2002,"Dzhalka","Gudermesskiy",34,4,1,2,5390,8.59230041503906,0,0,0,0,83,4.41883993148804,0,1.14999997615814,0.13976189494133,1,1,90,0,0,0,0,0,0,4,1,1.60943794250488,0,0,0,0,0,0,2,3
71,"8/8/2002",2002,"Staropomyslovskiy (Groznyy)","Groznyy",121,2,0,1,20864,9.94578075408936,7,7,1,1,130,4.86753511428833,0,4.68400001525879,1.54415202140808,0,1,22,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,0,1,0,4
72,"8/8/2002",2002,"Gekhi (Blagodatnoye)","Urus-Martanovskiy",43,14,0,2,10717,9.27958679199219,0,0,2,0,222,5.4026780128479,0,5.46600008010864,1.69854700565338,0,0,8,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,1,0,1,0,0
72,"8/8/2002",2002,"Novye Atagi","Shalinskiy",95,10,1,2,9311,9.13895130157471,0,0,0,0,266,5.58349609375,0,3.08599996566772,1.12687599658966,1,0,90,5,1,12,1,0,1,5,1,1.79175901412964,2,1,1.09861195087433,0,0,0,0,1
73,"8/14/2002",2002,"Gudermes","Gudermesskiy",54,4,0,2,33578,10.4216299057007,3,3,4,0,48,3.8712010383606,0,8.67399978637695,2.16033005714417,1,1,2,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,1,0,1,0,0
73,"8/14/2002",2002,"Shali","Shalinskiy",113,10,1,2,29011,10.275429725647,9,9,-7,0,227,5.42495012283325,0,4.34999990463257,1.47017598152161,1,1,19,3,1,8,1,1,0,3,1,1.38629400730133,0,0,0,-1,1,0,0,1
74,"8/19/2002",2002,"Elistanzhi","Vedenskiy",36,15,0,3,1845,7.52023506164551,3,3,0,0,702,6.55393409729004,0,2.84699988365173,1.04626595973969,1,1,22,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,0,0,0,0,4
74,"8/19/2002",2002,"Vedeno","Vedenskiy",138,15,1,3,1512,7.32118797302246,9,9,-7,0,702,6.55393409729004,0,1.3309999704361,0.285930514335632,1,0,7,2,1,0,0,1,1,0,0,0,1,1,0.6931471824646,-1,1,0,0,7
75,"9/9/2002",2002,"Avtury","Shalinskiy",12,10,0,2,10724,9.28023910522461,4,4,-1,0,247,5.5093879699707,0,5.23600006103516,1.65555799007416,1,1,43,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,-1,1,0,0,1
75,"9/9/2002",2002,"Chechen-Aul","Groznenskiy",22,3,1,2,6281,8.74528408050537,4,4,-3,0,202,5.30826807022095,0,6.49200010299683,1.87057101726532,0,0,69,0,0,6,1,1,0,17,1,2.89037203788757,0,0,0,-1,1,0,0,0
76,"9/12/2002",2002,"Dyshne-Vedeno","Vedenskiy",33,15,1,3,3572,8.18088054656982,0,0,0,0,774,6.65157222747803,0,2.28500008583069,0.826366126537323,1,0,90,3,1,0,0,0,0,0,0,0,1,1,0.6931471824646,0,0,0,0,6
76,"9/12/2002",2002,"Tevzena","Vedenskiy",129,15,0,3,1699,7.43779516220093,2,2,0,0,572,6.34913921356201,0,0.607200026512146,-0.498896986246109,1,0,23,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,0,0,0,0,4
77,"9/27/2002",2002,"Agishty","Shalinskiy",4,10,1,2,780,6.65929412841797,0,0,0,0,455,6.12029695510864,0,4.78800010681152,1.56611299514771,1,0,90,5,1,5,1,0,0,0,0,0,3,1,1.38629400730133,0,0,0,0,3
77,"9/27/2002",2002,"Akhkinchu-Barze","Kurchaloevskiy",5,6,0,2,786,6.66695690155029,2,2,-1,0,294,5.68357992172241,0,3.30599999427795,1.19573903083801,1,0,2,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,-1,1,0,2,6
78,"10/27/2002",2002,"Chiri-Yurt","Shalinskiy",24,10,0,2,11316,9.3339729309082,3,3,-2,0,313,5.74620294570923,0,1.192999958992,0.176471099257469,1,1,26,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,-1,1,0,0,4
78,"10/27/2002",2002,"Grozny (Leninskiy)","Groznyy",74,2,1,1,18308,9.81509304046631,20,20,-3,1,130,4.86753511428833,0,4.68400001525879,1.54415202140808,0,1,4,3,1,0,0,1,0,3,1,1.38629400730133,4,1,1.60943794250488,-1,1,0,0,4
79,"11/4/2002",2002,"Prigorodny","Groznenskiy",104,3,1,2,2892,7.96970415115356,0,0,0,0,187,5.23110914230347,0,0.632099986076355,-0.458707690238953,0,0,90,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
79,"11/4/2002",2002,"Tsa-Vedeno","Vedenskiy",132,15,0,3,1502,7.31455278396606,4,4,-2,0,603,6.40191698074341,0,1.92499995231628,0.654925882816315,1,0,45,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,-1,1,0,1,7
80,"11/8/2002",2002,"Eshilkhatoy","Vedenskiy",38,15,1,3,341,5.83188199996948,0,0,0,0,698,6.54821920394897,0,2.69400000572205,0.991027116775513,1,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
80,"11/8/2002",2002,"Morzoi-Mokkh","Vedenskiy",86,15,0,3,153,5.03043794631958,0,0,0,0,581,6.36475086212158,0,2.77800011634827,1.02173101902008,1,0,90,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,4,8
81,"12/19/2002",2002,"Ortsi-Yurt","Nozhai-Yurtovskiy",99,9,1,3,470,6.15273284912109,0,0,0,0,672,6.51025819778442,0,2.59999990463257,0.955511391162872,1,0,90,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,4
81,"12/19/2002",2002,"Shena (Shuani)","Nozhai-Yurtovskiy",116,9,0,3,932,6.83733320236206,1,1,-1,0,604,6.40357398986816,0,1.48160004615784,0.393122613430023,1,0,90,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,-1,1,0,1,4
82,"1/14/2003",2003,"Borzoi","Shatoiskiy",20,11,0,3,4313,8.36938858032227,0,0,0,0,919,6.82328605651855,0,0.925999999046326,-0.0768809989094734,0,0,90,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,3,5
82,"1/14/2003",2003,"Novogroznenskoi","Gudermesskiy",93,4,1,2,9426,9.15122699737549,0,0,0,0,56,4.02535200119019,0,1.4099999666214,0.343589693307877,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
83,"1/24/2003",2003,"Dyshne-Vedeno","Vedenskiy",33,15,1,3,3572,8.18088054656982,4,4,0,0,774,6.65157222747803,0,2.28500008583069,0.826366126537323,1,0,13,0,0,1,1,1,0,0,0,0,2,1,1.09861195087433,0,0,0,0,6
83,"1/24/2003",2003,"Mesedoy","Vedenskiy",83,15,0,3,600,6.39693021774292,0,0,0,0,714,6.57088279724121,0,0.740800023078918,-0.300024598836899,1,0,90,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,4
84,"1/24/2003",2003,"Evli","Vedenskiy",39,15,0,3,75,4.31748819351196,0,0,0,0,1130,7.02997303009033,0,7.22279977798462,1.97724294662476,1,0,90,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0
84,"1/24/2003",2003,"Serzhen-Yurt","Shalinskiy",111,10,1,2,3244,8.08456230163574,0,0,0,0,325,5.7838249206543,0,5.23600006103516,1.65555799007416,1,0,90,1,1,1,1,0,0,6,1,1.94590997695923,1,1,0.6931471824646,0,0,0,0,1
85,"1/31/2003",2003,"Neftyanoye","Vedenskiy",90,15,1,3,247,5.5093879699707,0,0,0,0,736,6.60123014450073,0,1.3309999704361,0.285930514335632,1,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
85,"1/31/2003",2003,"Verkhny Dai","Shatoiskiy",139,11,0,3,196,5.27811479568481,0,0,0,0,738,6.60394382476807,0,0.439999997615814,-0.820980489253998,0,0,90,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,5,12
86,"1/31/2003",2003,"Geldagan (Gel'dygen)","Kurchaloevskiy",45,6,0,2,6401,8.76420974731445,0,0,0,0,162,5.08759593963623,0,4.26100015640259,1.4495040178299,1,0,90,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,2
86,"1/31/2003",2003,"Valerik","Achkhoi-Martanovskiy",137,1,1,2,6733,8.81477642059326,0,0,0,0,222,5.4026780128479,0,3.27600002288818,1.18662297725677,0,0,90,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2
87,"2/26/2003",2003,"Dachu-Borzoi","Shatoiskiy",26,11,0,3,412,6.02102279663086,0,0,1,0,422,6.04500484466553,0,1.80299997329712,0.589451909065247,0,0,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,0,1,1,5
87,"2/26/2003",2003,"Serzhen-Yurt","Shalinskiy",111,10,1,2,3244,8.08456230163574,2,2,-1,0,325,5.7838249206543,0,5.23600006103516,1.65555799007416,1,0,71,1,1,1,1,1,0,6,1,1.94590997695923,2,1,1.09861195087433,-1,1,0,0,1
88,"3/4/2003",2003,"Kulary","Urus-Martanovskiy",71,14,0,2,3458,8.14844608306885,0,0,0,0,165,5.10594606399536,0,2.48900008201599,0.911881029605865,0,0,90,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,5
88,"3/4/2003",2003,"Serzhen-Yurt","Shalinskiy",111,10,1,2,3244,8.08456230163574,2,2,-1,0,325,5.7838249206543,0,5.23600006103516,1.65555799007416,1,0,65,0,0,7,1,1,1,0,0,0,3,1,1.38629400730133,-1,1,0,0,1
89,"3/21/2003",2003,"Dolinskoe","Groznenskiy",29,3,0,2,1053,6.95939922332764,0,0,0,0,168,5.12396383285522,0,3.74000000953674,1.31908595561981,0,0,90,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,0,0,0,0,1
89,"3/21/2003",2003,"Gikalo","Groznenskiy",47,3,1,2,4017,8.29829025268555,0,0,0,0,185,5.22035598754883,0,3.43300008773804,1.23343503475189,0,0,90,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,6
90,"5/3/2003",2003,"Alkhazurovo","Urus-Martanovskiy",8,14,1,2,5365,8.58765125274658,2,2,0,0,389,5.96357917785645,0,2.43899989128113,0.891588091850281,0,0,73,0,0,0,0,1,0,0,0,0,1,1,0.6931471824646,0,0,0,0,4
90,"5/3/2003",2003,"Bachi-Yurt","Kurchaloevskiy",13,6,0,2,9791,9.18921947479248,2,2,-1,0,221,5.39816284179688,0,6.53000020980835,1.87640702724457,1,0,64,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,-1,1,0,0,0
91,"5/3/2003",2003,"Avtury","Shalinskiy",12,10,1,2,10724,9.28023910522461,1,1,-1,0,247,5.5093879699707,0,5.23600006103516,1.65555799007416,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,1
91,"5/3/2003",2003,"Gekhi (Blagodatnoye)","Urus-Martanovskiy",43,14,0,2,10717,9.27958679199219,2,2,-2,0,222,5.4026780128479,0,5.46600008010864,1.69854700565338,0,0,90,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,-1,1,0,0,0
92,"8/17/2003",2003,"Khambi-Irze","Achkhoi-Martanovskiy",61,1,1,2,2920,7.97933912277222,0,0,0,0,171,5.14166402816772,0,3.88919997215271,1.35820400714874,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
92,"8/17/2003",2003,"Sel'mentauzen","Vedenskiy",110,15,0,3,1021,6.92853784561157,2,2,1,0,796,6.67959880828857,0,0.275599986314774,-1.28880500793457,1,0,17,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,0,1,0,4
93,"9/7/2003",2003,"Chiri-Yurt","Shalinskiy",24,10,0,2,11316,9.3339729309082,1,1,-1,0,313,5.74620294570923,0,1.192999958992,0.176471099257469,1,1,90,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,-1,1,0,0,4
93,"9/7/2003",2003,"Urus-Martan","Urus-Martanovskiy",136,14,1,2,41122,10.6243000030518,0,0,2,0,234,5.45532083511353,1,3.7739999294281,1.32813501358032,0,1,9,1,1,3,1,1,0,0,0,0,3,1,1.38629400730133,1,0,1,0,3
94,"10/2/2003",2003,"Ilaskhan-Yurt","Gudermesskiy",57,4,0,2,3713,8.21959590911865,0,0,0,0,138,4.92725419998169,0,6.11159992218018,1.81018900871277,1,0,90,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0
94,"10/2/2003",2003,"Makhkety","Vedenskiy",77,15,1,3,3495,8.15908908843994,0,0,0,0,649,6.47543287277222,0,1.67599999904633,0.516409993171692,1,0,90,3,1,0,0,0,1,0,0,0,3,1,1.38629400730133,0,0,0,0,6
95,"10/9/2003",2003,"Gekhi-Chu","Urus-Martanovskiy",44,14,1,2,2413,7.78862619400024,0,0,0,0,220,5.39362812042236,0,3.77500009536743,1.32840001583099,0,0,90,0,0,0,0,0,0,2,1,1.09861195087433,0,0,0,0,0,0,0,2
95,"10/9/2003",2003,"Kirova","Naurskiy",68,8,0,1,2100,7.64969301223755,0,0,0,0,161,5.08140420913696,1,3.48900008201599,1.24961495399475,0,0,90,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,1
96,"10/11/2003",2003,"Gekhi-Chu","Urus-Martanovskiy",44,14,1,2,2413,7.78862619400024,0,0,0,0,220,5.39362812042236,0,3.77500009536743,1.32840001583099,0,0,90,0,0,0,0,0,0,2,1,1.09861195087433,1,1,0.6931471824646,0,0,0,0,2
96,"10/11/2003",2003,"Gudermes","Gudermesskiy",54,4,0,2,33578,10.4216299057007,5,5,1,0,48,3.8712010383606,0,8.67399978637695,2.16033005714417,1,1,12,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,1,0,1,0,0
97,"10/14/2003",2002,"Agishbatoi","Vedenskiy",3,15,0,3,14,2.63905692100525,0,0,1,0,816,6.70441389083862,0,1.48160004615784,0.393122613430023,1,0,72,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,1,0,1,0,5
97,"10/14/2003",2003,"Shali","Shalinskiy",113,10,1,2,29011,10.275429725647,4,4,-1,0,227,5.42495012283325,0,4.34999990463257,1.47017598152161,1,1,1,2,1,1,1,1,0,0,0,0,1,1,0.6931471824646,-1,1,0,0,1
98,"10/21/2003",2003,"Khatuni","Vedenskiy",64,15,1,3,1613,7.38585090637207,0,0,0,0,614,6.41999483108521,0,2.16199994087219,0.771033704280853,1,0,90,0,0,0,0,0,0,0,0,0,1,1,0.6931471824646,0,0,0,0,3
98,"10/21/2003",2003,"Nadrech'ye","Shalinskiy",88,10,0,2,730,6.59304523468018,0,0,0,0,327,5.78995990753174,0,1.48160004615784,0.393122613430023,1,0,90,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,5
99,"10/21/2003",2003,"Kharsenoi","Shatoiskiy",63,11,0,3,1800,7.49554204940796,0,0,0,0,796,6.67959880828857,0,1.48160004615784,0.393122613430023,0,0,90,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,2,5
99,"10/21/2003",2003,"Tevzena","Vedenskiy",129,15,1,3,1699,7.43779516220093,0,0,0,0,572,6.34913921356201,0,0.607200026512146,-0.498896986246109,1,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
100,"10/21/2003",2003,"Oktya'brskoe","Vedenskiy",98,15,0,3,2724,7.90985679626465,0,0,0,0,667,6.50278997421265,0,1.48160004615784,0.393122613430023,1,0,90,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,5
