code,country,pop_density,pmdeaths_total,pmdeaths_female,pmdeaths_male,mean_income,edu_level3,edu_level4
330,1,3,17099.5,13756,20443,42176,0.10669652372598648,0.3319893777370453
253,1,2,11677.5,10590,12765,46818,0.14215420186519623,0.39520734548568726
430,4,1,15265,12956,17574,27284,0.14504127204418182,0.26429060101509094
331,1,3,18799.5,13492,24107,37891,0.09278228878974915,0.41810449957847595
32,1,2,19817.5,16790,22845,28620,0.1251549869775772,0.1764746755361557
213,1,1,12396.5,9495,15298,31323,0.12176015228033066,0.32058778405189514
332,1,3,16184,12005,20363,50855,0.10667067766189575,0.4956398904323578
186,1,1,12851.5,10866,14837,37686,0.12081003934144974,0.318422794342041
333,1,3,15742,11953,19531,37464,0.09591040015220642,0.4078114628791809
132,1,2,17047,13478,20616,30162,0.11192572861909866,0.17626534402370453
214,1,1,12538.5,10387,14690,31943,0.11795157939195633,0.3410056233406067
334,1,3,11684.5,8559,14810,37773,0.104032501578331,0.36763736605644226
148,1,1,10947,9086,12808,47103,0.13003398478031158,0.3748985230922699
27,1,2,19461.5,16778,22145,29897,0.1249663233757019,0.17598479986190796
121,1,2,19197,15270,23124,26297,0.12079523503780365,0.21233399212360382
149,1,2,15355.5,12287,18424,31393,0.11954618245363235,0.22282834351062775
335,1,2,14381,11653,17109,37649,0.11302918195724487,0.194447323679924
45,1,1,13872,11185,16559,30650,0.11999710649251938,0.27493056654930115
156,1,2,14660.5,12020,17301,45578,0.11209779232740402,0.3079620599746704
103,1,1,14702.5,11789,17616,31103,0.1314099133014679,0.294076532125473
404,3,NA,17605.910625000004,13495.055030000003,21716.766220000005,29748,0.09247957915067673,0.26370757818222046
336,1,2,15116,12659,17573,36671,0.1248324066400528,0.2803776264190674
187,1,1,12852,10383,15321,29283,0.12411679327487946,0.24056664109230042
271,1,1,12852.5,10829,14876,42983.9453125,0.1266883909702301,0.32610201835632324
337,1,3,14917.5,11846,17989,36015,0.09780460596084595,0.34558647871017456
90,1,1,13242.5,10943,15542,34426,0.1237778589129448,0.2792493402957916
175,1,2,20043.5,15176,24911,24840,0.12549148499965668,0.189290389418602
405,3,1,22281.200965000004,17132.61864,27429.783290000007,30864,0.11491741985082626,0.19743774831295013
246,1,2,16550,13239,19861,29459,0.11424075067043304,0.2062646597623825
429,4,1,17654,14877,20431,27095,0.11896700412034988,0.2608049809932709
72,1,1,14833,11690,17976,29970,0.12222616374492645,0.22634506225585938
338,1,3,17533,13080,21986,52782,0.09754183143377304,0.48053085803985596
339,1,3,12002,9157,14847,119645,0.10024801641702652,0.5267935991287231
208,1,1,14230.5,10824,17637,31229,0.11782004684209824,0.2326725423336029
201,1,1,14910,11637,18183,29049,0.10978563129901886,0.19125238060951233
36,1,3,20975.5,16920,25031,24257,0.1311478614807129,0.15231205523014069
340,1,3,12509.5,10622,14397,46962,0.13469450175762177,0.4143770635128021
316,1,2,16310,13360,19260,30220,0.1256493330001831,0.2386941760778427
294,1,2,20876.5,17463,24290,27056,0.11761996150016785,0.15457454323768616
341,1,3,17481.5,13820,21143,39380,0.09660894423723221,0.46620216965675354
176,1,1,18446,14502,22390,32513,0.17515705525875092,0.2720506191253662
317,1,2,17345,13715,20975,30544,0.1473911702632904,0.26943185925483704
42,1,3,19264,15768,22760,25500,0.13005833327770233,0.21193966269493103
122,1,1,13448.5,9965,16932,39632,0.11809919029474258,0.29416146874427795
342,1,3,16546,12544,20548,38432,0.10831592231988907,0.3800108730792999
238,1,1,13385.5,10648,16123,34160,0.11773841828107834,0.2841903865337372
193,1,2,17744,14935,20553,27256,0.1841028332710266,0.21286609768867493
295,1,3,22030.5,17860,26201,29198,0.15211103856563568,0.22436939179897308
58,1,3,18682.5,14970,22395,28580,0.11078653484582901,0.22253188490867615
165,1,1,13853,11302,16404,35430,0.12150530517101288,0.2562561631202698
133,1,1,11552.5,10167,12938,46300,0.11203841865062714,0.23637902736663818
275,1,1,14121,11806,16436,32373,0.11359874159097672,0.3393336534500122
286,1,3,23430.5,19164,27697,28859,0.16045983135700226,0.28898298740386963
223,1,2,18015,14357,21673,25588,0.12143057584762573,0.1635848730802536
61,1,2,17231,13900,20562,32354,0.12739476561546326,0.19132016599178314
188,1,1,13908.5,12011,15806,29763,0.12670660018920898,0.26153695583343506
231,1,1,12476.5,10088,14865,32833,0.12035057693719864,0.27867284417152405
450,4,2,21093.5,16790,25397,25514,0.10053927451372147,0.17752183973789215
343,1,3,14801.5,11762,17841,45646,0.09903009235858917,0.4109114706516266
108,1,1,11785,9845,13725,29096,0.12101265788078308,0.2644936740398407
247,1,1,12387,10513,14261,38960,0.12445030361413956,0.264412522315979
272,1,1,11478.5,8457,14500,36149,0.13177242875099182,0.3362777829170227
28,1,2,22165.5,17912,26419,27622,0.13171027600765228,0.18541966378688812
406,3,1,18749.15328,13915.427880000003,23582.878679999994,31550,0.08546401560306549,0.21050840616226196
68,1,2,15924,12579,19269,34511,0.11479664593935013,0.2822275757789612
254,1,1,12113.5,9981,14246,44071,0.11348088830709457,0.3793618977069855
447,4,1,13963.5,11055,16872,35267,0.10797815769910812,0.33083376288414
407,3,1,17285.237199999996,14403.424509999997,20167.049889999995,27e3,0.0986216589808464,0.22705276310443878
439,4,1,19186,15973,22399,26905,0.10965052992105484,0.18785326182842255
150,1,1,12442.5,11134,13751,32712,0.12025298923254013,0.27240803837776184
224,1,1,14776,12371,17181,29589,0.11887352913618088,0.2415785938501358
239,1,2,15856,11853,19859,27251,0.14467042684555054,0.2248840183019638
303,1,2,18935,14454,23416,30523,0.1707945168018341,0.2716287076473236
344,1,3,17138,12835,21441,29647,0.09851736575365067,0.3014448285102844
448,4,2,17346.5,13e3,21693,29780,0.11347852647304535,0.23379860818386078
408,3,1,20816.874004999998,16460.092709999997,25173.6553,28549,0.1144699677824974,0.19648434221744537
109,1,1,15733.5,12499,18968,26881,0.12427304685115814,0.22916074097156525
116,1,1,10996.5,8772,13221,28209,0.12552018463611603,0.269197940826416
104,1,1,14168,11286,17050,31526,0.11896153539419174,0.2217680960893631
38,1,2,18791.5,14916,22667,27734,0.10819543153047562,0.1620844453573227
157,1,1,13757.5,11932,15583,41812,0.11360706388950348,0.3442004919052124
194,1,1,12720,10929,14511,29831,0.13173618912696838,0.25432920455932617
425,3,2,23244.525295,18750.27158,27738.77901,28131,0.10490205138921738,0.17156261205673218
39,1,1,17225,13887,20563,31089,0.11694647371768951,0.19531244039535522
202,1,1,14182.5,10980,17385,27078,0.10522861033678055,0.22257284820079803
50,1,1,14358.5,12053,16664,36155,0.12664392590522766,0.28352639079093933
304,1,2,17311.5,12903,21720,27847,0.11886388063430786,0.25279849767684937
262,1,1,15991,13138,18844,29059,0.11908166855573654,0.19777077436447144
189,1,1,14399.5,12034,16765,29172,0.12417041510343552,0.2427992820739746
209,1,2,17709,13711,21707,29827,0.12365724891424179,0.23673219978809357
82,1,1,15839,13173,18505,30223,0.12072687596082687,0.25565871596336365
203,1,3,17176.5,13697,20656,27605,0.15238481760025024,0.2772618532180786
44,1,3,19986,15978,23994,26565,0.18556679785251617,0.21940872073173523
263,1,2,16679,12637,20721,29016,0.11615502834320068,0.18569989502429962
190,1,2,13605.5,11161,16050,25610,0.1465950459241867,0.24754633009433746
287,1,2,20106,16562,23650,28008,0.11707311123609543,0.18607184290885925
409,3,1,16267.701839999994,12590.922909999994,19944.480769999995,30500,0.0809682309627533,0.26541781425476074
227,1,3,15509.5,12137,18882,32555,0.1781889945268631,0.42593804001808167
436,4,1,15654.5,13293,18016,28403,0.1176939457654953,0.2475937157869339
177,1,1,18067,14633,21501,26778,0.1253233551979065,0.20233944058418274
410,3,1,15902.346745000003,13201.127770000006,18603.56572,31154,0.09697309136390686,0.30363771319389343
57,1,2,17167.5,13780,20555,30187,0.10788608342409134,0.2023945450782776
52,1,2,17553.5,13812,21295,27430,0.1655256152153015,0.21455588936805725
55,1,2,13962.5,11143,16782,35026,0.12484219670295715,0.25529977679252625
70,1,3,18858,14765,22951,27980,0.17977233231067657,0.23694217205047607
449,4,1,14464,12423,16505,25073,0.11549466848373413,0.2633558213710785
178,1,2,19877,15516,24238,27863,0.15139038860797882,0.2462485283613205
117,1,1,12779,10444,15114,27832,0.12099899351596832,0.25709962844848633
64,1,3,16468,12504,20432,35634,0.13437435030937195,0.3479001820087433
345,1,3,13649.5,10669,16630,41268,0.10276152938604355,0.3391713500022888
29,1,1,18233.5,14936,21531,27848,0.1312662661075592,0.18928754329681396
276,1,2,16293,12954,19632,24985,0.1198858916759491,0.20703263580799103
255,1,2,12286.5,9737,14836,51063,0.12006322294473648,0.3395980894565582
420,3,2,21256.075730000004,15942.646900000007,26569.50456,31986,0.11205575615167618,0.2305883914232254
443,4,1,19687,15505,23869,27208,0.11421447992324829,0.19550170004367828
179,1,1,13206.5,11892,14521,37824,0.12547259032726288,0.3397705852985382
346,1,2,11760.5,9546,13975,58257,0.106096550822258,0.530376136302948
215,1,1,12334.5,11314,13355,30204,0.12340156733989716,0.26963791251182556
288,1,2,20599,17363,23835,28209,0.11740636080503464,0.19393587112426758
134,1,1,12404,9781,15027,39296,0.11949437111616135,0.2000703066587448
180,1,1,17866,13250,22482,27306,0.13037529587745667,0.25133639574050903
123,1,1,14177.5,11583,16772,34082,0.11198417842388153,0.2545606791973114
301,1,2,18172,15560,20784,27739,0.11537943780422211,0.17385514080524445
264,1,1,13741.5,10664,16819,39006,0.1171782985329628,0.2817608416080475
256,1,2,13249.5,11018,15481,40346,0.1514560431241989,0.29923635721206665
225,1,1,11999.5,9928,14071,41291,0.13098695874214172,0.389912873506546
151,1,2,14964.5,11746,18183,33253,0.12507013976573944,0.24705426394939423
43,1,1,11108,8445,13771,31099,0.1249551847577095,0.32904213666915894
216,1,1,14851,13751,15951,27043,0.11342592537403107,0.27298611402511597
289,1,2,20914.5,16338,25491,28773,0.12644347548484802,0.2230267971754074
310,1,2,19930,16093,23767,25053,0.10439194738864899,0.15362508594989777
217,1,1,16406,12003,20809,27987,0.12064287066459656,0.22693157196044922
411,3,1,15605.576294999999,12652.36331,18558.789279999997,30565,0.08655545115470886,0.2699912190437317
232,1,1,14368.5,11592,17145,31697,0.11821511387825012,0.22122612595558167
297,1,2,18981,15239,22723,28581,0.12460087984800339,0.24064300954341888
218,1,1,13413.5,9924,16903,32527,0.12814265489578247,0.2610405683517456
166,1,1,11873,9798,13948,62355,0.11101739853620529,0.31984949111938477
302,1,2,16612,12875,20349,27938,0.1583888977766037,0.25664469599723816
167,1,1,16043,13050,19036,30511,0.11922036856412888,0.2177106738090515
412,3,1,19732.820405,16395.117469999997,23070.52334,32618,0.08953786641359329,0.2663136422634125
76,1,1,13880.5,11211,16550,31490,0.1215476393699646,0.2749556303024292
65,1,3,16901,13992,19810,31037,0.10117679834365845,0.2584275007247925
311,1,2,14213.5,11341,17086,38773,0.11700190603733063,0.28528356552124023
413,3,1,18335.751269999993,15983.495379999993,20688.007159999994,32971,0.1027759239077568,0.2514854073524475
85,1,1,12036,10497,13575,45693,0.11132635921239853,0.36857253313064575
91,1,1,11297,10039,12555,43236,0.11288565397262573,0.40096530318260193
105,1,1,14774.5,11762,17787,32464,0.12828350067138672,0.25953102111816406
51,1,2,12707.5,10151,15264,33641,0.13677603006362915,0.2668943703174591
110,1,1,12767.5,9136,16399,35372.23828125,0.12102822214365005,0.3427320122718811
195,1,1,15431,13014,17848,26875,0.10025356709957123,0.1579463928937912
196,1,1,14252.5,11335,17170,33116,0.12351835519075394,0.25644221901893616
97,1,1,13210,10056,16364,30153,0.11822003126144409,0.3335384130477905
414,3,1,20306.733930000002,16438.551890000002,24174.915970000002,30275,0.10534322261810303,0.2204020917415619
204,1,1,12297.5,10413,14182,33398,0.1148972138762474,0.2703677713871002
210,1,1,11938,10187,13689,40402,0.12472312897443771,0.31050360202789307
228,1,1,11936,10266,13606,52176,0.11952102929353714,0.3670541048049927
181,1,2,15270,13003,17537,30181,0.13729910552501678,0.26397719979286194
233,1,1,13140,11135,15145,27899,0.12426767498254776,0.25054100155830383
240,1,1,13711.5,11807,15616,31005,0.12547233700752258,0.25088945031166077
305,1,2,19636,15325,23947,28297,0.1201227530837059,0.19242225587368011
71,1,3,17927,13690,22164,27714,0.17327933013439178,0.24622316658496857
59,1,3,15870.5,12189,19552,34371,0.11417213827371597,0.21825331449508667
347,1,3,17133.5,13230,21037,44626,0.10548698902130127,0.4307006001472473
257,1,2,13582,11503,15661,38202,0.11374200880527496,0.25947317481040955
280,1,2,11342.5,9369,13316,62701,0.10415046662092209,0.4634324908256531
248,1,1,12833,11566,14100,29262,0.11984605342149734,0.24566897749900818
296,1,2,19286.5,15378,23195,26998,0.12141840904951096,0.2087157815694809
241,1,1,13904.5,10261,17548,33060,0.12940733134746552,0.30275440216064453
242,1,1,14323,11800,16846,30351,0.12259265780448914,0.23740537464618683
283,1,2,16103.5,14089,18118,31246,0.11798223108053207,0.22076989710330963
415,3,1,17050.498985,14146.848629999993,19954.149340000004,41454,0.08728041499853134,0.33302348852157593
290,1,2,15885.5,13118,18653,32693,0.12138089537620544,0.2980828583240509
30,1,2,18026,13951,22101,29470,0.13560901582241058,0.22815090417861938
47,1,2,20652.5,16445,24860,25949,0.11942165344953537,0.1547083854675293
265,1,1,13311.5,10630,15993,39027.15625,0.11707083135843277,0.33381980657577515
141,1,1,13937.5,11918,15957,35717,0.12202578037977219,0.3287118971347809
249,1,1,12991,10072,15910,35634,0.11310436576604843,0.2898213863372803
306,1,2,19232,15908,22556,26637,0.12004979699850082,0.18184977769851685
258,1,2,11713,8948,14478,41881,0.12233413010835648,0.3446798026561737
348,1,3,14350.5,11990,16711,36743,0.11844924092292786,0.3008385896682739
168,1,1,16113,12755,19471,30558,0.11242041736841202,0.1891946643590927
438,4,2,17908.5,14039,21778,28032,0.13918644189834595,0.2584717571735382
56,1,2,15907,13097,18717,32268,0.11638275533914566,0.2270733267068863
291,1,2,19933,16475,23391,24888,0.12100262939929962,0.17548806965351105
243,1,2,16046,13057,19035,27825,0.12497763335704803,0.17417475581169128
259,1,1,13773.5,10633,16914,39310,0.1226203665137291,0.329682320356369
234,1,1,13873.5,10908,16839,31449,0.12282902002334595,0.2813037633895874
111,1,1,13933,10780,17086,27230,0.11756540834903717,0.2796853482723236
46,1,2,18032,14911,21153,27502,0.12986257672309875,0.20924946665763855
135,1,1,18266.5,15220,21313,28500,0.09525953233242035,0.15879474580287933
152,1,1,12490,10331,14649,36271,0.12464252859354019,0.30530428886413574
142,1,1,14040,11822,16258,37298,0.12194542586803436,0.3018052875995636
169,1,2,18499.5,14727,22272,26375,0.11279892176389694,0.19606471061706543
441,4,1,15671,13260,18082,33237,0.1188148781657219,0.2978127598762512
158,1,2,12494.5,9649,15340,41673,0.11511193215847015,0.33909109234809875
60,1,2,15564,13517,17611,31213,0.10925636440515518,0.17437422275543213
170,1,1,13118.5,10404,15833,37875,0.12153912335634232,0.2709948718547821
53,1,2,16577.5,12987,20168,24863,0.11808034032583237,0.2064598798751831
446,4,2,18844,15923,21765,27388,0.11196890473365784,0.20283612608909607
112,1,1,14473.5,12243,16704,26545,0.12066540122032166,0.2166500985622406
349,1,3,18836,15169,22503,47872,0.10121449828147888,0.41026610136032104
292,1,2,15535,12840,18230,38201,0.1166115254163742,0.337757408618927
171,1,1,12271.5,10061,14482,44026,0.1208311915397644,0.3463703691959381
136,1,1,11187,9478,12896,47824,0.11978106945753098,0.3194214403629303
229,1,1,11816,9878,13754,36279,0.11526867747306824,0.3721376955509186
318,1,2,17689.5,14369,21010,26948,0.10611481964588165,0.18349342048168182
312,1,2,18471.5,14624,22319,25396,0.10802213102579117,0.1688649207353592
350,1,3,16054.5,12696,19413,34599,0.10013242810964584,0.2998754382133484
351,1,3,15374.5,11701,19048,56439,0.09955506026744843,0.5357339382171631
33,1,2,16850,14219,19481,31656,0.1259687840938568,0.2744728624820709
266,1,1,13958.5,11413,16504,36034,0.1437251716852188,0.3843543529510498
159,1,3,15574,12156,18992,35929,0.11662226170301437,0.3219561278820038
250,1,1,16035,12120,19950,27358,0.11668361723423004,0.17880024015903473
260,1,1,12099.5,10092,14107,55101,0.12246865779161453,0.40137261152267456
124,1,1,12288.5,9769,14808,37937.65234375,0.12248964607715607,0.28878742456436157
211,1,1,15530,13776,17284,28823,0.10843772441148758,0.20393384993076324
281,1,2,15094,12485,17703,33315,0.15725524723529816,0.30013611912727356
63,1,1,13355,10562,16148,39414,0.1215340867638588,0.3210761845111847
113,1,1,12712,9310,16114,31991,0.11883006244897842,0.3003225028514862
118,1,1,12147,9451,14843,32914,0.1182125061750412,0.3075440526008606
421,3,2,25000.87244,21254.941720000003,28746.803159999996,29002,0.11102783679962158,0.16513651609420776
182,1,1,15111,12148,18074,30613,0.13947437703609467,0.2535496950149536
197,1,1,14347,11469,17225,27705,0.1192629486322403,0.2527625858783722
422,3,1,19341.191925,16660.113410000005,22022.270439999993,31367,0.10125657916069031,0.21474957466125488
230,1,1,12075.5,10545,13606,40308,0.12323002517223358,0.3290978968143463
235,1,1,14156,10978,17334,25243,0.10685564577579498,0.24845865368843079
352,1,3,13672.5,10202,17143,76159,0.09160546213388443,0.5028905868530273
119,1,2,17186,13205,21167,28695,0.13077744841575623,0.224781796336174
293,1,2,18204.5,15013,21396,27482,0.12166392058134079,0.1953805834054947
